# Distribution of mismatches along the read length.
# Read positions numbered 1, 2, ... from read start.
# ReadPosition NReads NMismatches FracMismatches
1 11370288 39744 0.003495
2 11370288 34559 0.003039
3 11370288 28201 0.002480
4 11370288 25341 0.002229
5 11370288 24156 0.002124
6 11370288 20413 0.001795
7 11370288 19373 0.001704
8 11370288 21137 0.001859
9 11370288 49262 0.004333
10 11370288 17037 0.001498
11 11370288 20740 0.001824
12 11370288 15528 0.001366
13 11370288 20283 0.001784
14 11370288 14769 0.001299
15 11370288 22208 0.001953
16 11370288 13990 0.001230
17 11370288 13715 0.001206
18 11370288 22352 0.001966
19 11370288 13425 0.001181
20 11370288 13492 0.001187
21 11370288 12840 0.001129
22 11370288 25885 0.002277
23 11370288 12625 0.001110
24 11370288 13164 0.001158
25 11370288 39487 0.003473
26 11370288 12816 0.001127
27 11370288 12934 0.001138
28 11370288 31818 0.002798
29 11370288 12697 0.001117
30 11370288 12931 0.001137
31 11370288 12442 0.001094
32 11370288 15431 0.001357
33 11370288 16627 0.001462
34 11370288 12132 0.001067
35 11370288 12131 0.001067
36 11370288 12460 0.001096
37 11370288 18268 0.001607
38 11370288 17191 0.001512
39 11370288 12093 0.001064
40 11370288 12103 0.001064
41 11370288 11978 0.001053
42 11370288 12246 0.001077
43 11370288 12116 0.001066
44 11370288 24272 0.002135
45 11370288 21754 0.001913
46 11370288 14066 0.001237
47 11370288 13375 0.001176
48 11370288 13791 0.001213
49 11370288 17168 0.001510
50 11370288 12076 0.001062
51 11370288 11523 0.001013
52 11370288 14053 0.001236
53 11370288 12032 0.001058
54 11370288 16774 0.001475
55 11370288 12042 0.001059
56 11370288 12095 0.001064
57 11370288 16877 0.001484
58 11370288 16225 0.001427
59 11370288 17679 0.001555
60 11370288 12228 0.001075
61 11370288 12175 0.001071
62 11370288 12164 0.001070
63 11370288 16686 0.001468
64 11370288 12210 0.001074
65 11370288 12205 0.001073
66 11370288 17670 0.001554
67 11370288 19994 0.001758
68 11370288 15790 0.001389
69 11370288 12964 0.001140
70 11370288 13287 0.001169
71 11370288 16531 0.001454
72 11370288 15723 0.001383
73 11370288 15166 0.001334
74 11370288 12937 0.001138
75 11370288 16589 0.001459
76 11370288 12654 0.001113
77 11370288 12703 0.001117
78 11370288 13075 0.001150
79 11370288 12778 0.001124
80 11370288 12715 0.001118
81 11370288 12682 0.001115
82 11370288 12983 0.001142
83 11370288 13122 0.001154
84 11370288 12886 0.001133
85 11370288 13703 0.001205
86 11370288 14417 0.001268
87 11370288 12905 0.001135
88 11370288 13528 0.001190
89 11370288 13984 0.001230
90 11370288 13537 0.001191
91 11370288 16699 0.001469
92 11370288 18163 0.001597
93 11370288 15681 0.001379
94 11370288 14308 0.001258
95 11370288 16122 0.001418
96 11370288 15970 0.001405
97 11370288 16661 0.001465
98 11370288 15181 0.001335
99 11370288 48458 0.004262
100 11370288 16266 0.001431
101 11350651 17273 0.001522
102 11327410 27037 0.002387
103 11302401 15048 0.001331
104 11273696 15726 0.001395
105 11241226 15609 0.001389
106 11205895 20372 0.001818
107 11164866 15559 0.001394
108 11121189 20187 0.001815
109 11073404 15737 0.001421
110 11022420 16555 0.001502
111 10964777 16636 0.001517
112 10903133 17527 0.001608
113 10838638 18523 0.001709
114 10769534 17737 0.001647
115 10698895 17174 0.001605
116 10619987 16874 0.001589
117 10533803 17296 0.001642
118 10445519 16575 0.001587
119 10356776 17193 0.001660
120 10265187 18739 0.001825
121 10162558 17552 0.001727
122 10057158 17773 0.001767
123 9945013 18922 0.001903
124 9835567 21570 0.002193
125 9719411 18398 0.001893
126 9594235 17997 0.001876
127 9471807 16538 0.001746
128 9351371 18166 0.001943
129 9229411 21068 0.002283
130 9108302 18429 0.002023
131 8970712 16440 0.001833
132 8827536 17228 0.001952
133 8684994 18278 0.002105
134 8534639 19505 0.002285
135 8383887 17836 0.002127
136 8235036 16780 0.002038
137 8086161 19709 0.002437
138 7926271 16766 0.002115
139 7765984 15494 0.001995
140 7601917 20152 0.002651
141 7438657 16918 0.002274
142 7267776 16923 0.002328
143 7099794 17270 0.002432
144 6935607 17225 0.002484
145 6787447 17566 0.002588
146 6619826 16025 0.002421
147 6451665 16162 0.002505
148 6292817 15589 0.002477
149 6119131 15271 0.002496
150 5939107 27913 0.004700
