# Distribution of mismatches along the read length.
# Read positions numbered 1, 2, ... from read start.
# ReadPosition NReads NMismatches FracMismatches
1 11370288 101977 0.008969
2 11370288 44642 0.003926
3 11370288 38890 0.003420
4 11370288 36206 0.003184
5 11370288 33713 0.002965
6 11370288 29348 0.002581
7 11370288 28594 0.002515
8 11370288 28947 0.002546
9 11370288 23100 0.002032
10 11370288 21909 0.001927
11 11370288 19832 0.001744
12 11370288 18997 0.001671
13 11370288 17096 0.001504
14 11370288 15441 0.001358
15 11370288 24052 0.002115
16 11370288 14582 0.001282
17 11370288 14196 0.001249
18 11370288 14153 0.001245
19 11370288 13757 0.001210
20 11370288 13944 0.001226
21 11370288 13266 0.001167
22 11370288 31416 0.002763
23 11370288 12718 0.001119
24 11370288 12915 0.001136
25 11370288 13324 0.001172
26 11370288 13411 0.001179
27 11370288 12753 0.001122
28 11370288 24190 0.002127
29 11370288 12327 0.001084
30 11370288 12982 0.001142
31 11370288 16980 0.001493
32 11370288 15377 0.001352
33 11370288 12139 0.001068
34 11370288 12204 0.001073
35 11370288 12602 0.001108
36 11370288 12504 0.001100
37 11370288 12702 0.001117
38 11370288 12722 0.001119
39 11370288 12586 0.001107
40 11370288 12478 0.001097
41 11370288 12110 0.001065
42 11370288 12788 0.001125
43 11370288 12576 0.001106
44 11370288 34594 0.003042
45 11370288 30052 0.002643
46 11370288 15292 0.001345
47 11370288 17223 0.001515
48 11370288 15091 0.001327
49 11370288 15843 0.001393
50 11370288 12128 0.001067
51 11370288 11797 0.001038
52 11370288 12066 0.001061
53 11370288 12245 0.001077
54 11370288 11781 0.001036
55 11370288 12242 0.001077
56 11370288 12185 0.001072
57 11370288 11961 0.001052
58 11370288 12068 0.001061
59 11370288 12101 0.001064
60 11370288 12061 0.001061
61 11370288 12700 0.001117
62 11370288 12019 0.001057
63 11370288 11940 0.001050
64 11370288 12236 0.001076
65 11370288 12067 0.001061
66 11370288 12575 0.001106
67 11370288 12094 0.001064
68 11370288 13527 0.001190
69 11370288 13332 0.001173
70 11370288 13497 0.001187
71 11370288 17669 0.001554
72 11370288 16777 0.001476
73 11370288 15660 0.001377
74 11370288 12003 0.001056
75 11370288 12094 0.001064
76 11370288 12453 0.001095
77 11370288 12424 0.001093
78 11370288 12595 0.001108
79 11370288 12628 0.001111
80 11370288 11855 0.001043
81 11370288 12013 0.001057
82 11370288 12248 0.001077
83 11370288 13143 0.001156
84 11370288 12566 0.001105
85 11370288 14072 0.001238
86 11370288 13481 0.001186
87 11370288 12644 0.001112
88 11370288 13079 0.001150
89 11370288 13185 0.001160
90 11370288 12933 0.001137
91 11370288 12563 0.001105
92 11370288 12606 0.001109
93 11370288 13245 0.001165
94 11370288 12765 0.001123
95 11370288 15536 0.001366
96 11370288 14805 0.001302
97 11370288 15150 0.001332
98 11370288 13298 0.001170
99 11370288 14486 0.001274
100 11370288 14383 0.001265
101 11350651 16308 0.001437
102 11327410 15592 0.001376
103 11302401 13329 0.001179
104 11273696 13994 0.001241
105 11241226 13915 0.001238
106 11205895 13820 0.001233
107 11164866 13367 0.001197
108 11121189 13395 0.001204
109 11073404 13496 0.001219
110 11022420 14584 0.001323
111 10964777 14663 0.001337
112 10903133 16372 0.001502
113 10838638 15551 0.001435
114 10769534 14810 0.001375
115 10698895 14705 0.001374
116 10619987 14472 0.001363
117 10533803 13921 0.001322
118 10445519 13644 0.001306
119 10356776 14150 0.001366
120 10265187 15883 0.001547
121 10162558 14449 0.001422
122 10057158 14256 0.001417
123 9945013 14858 0.001494
124 9835567 15533 0.001579
125 9719411 15019 0.001545
126 9594235 14812 0.001544
127 9471807 14268 0.001506
128 9351371 15003 0.001604
129 9229411 14037 0.001521
130 9108302 14085 0.001546
131 8970712 13514 0.001506
132 8827536 14801 0.001677
133 8684994 15166 0.001746
134 8534639 13387 0.001569
135 8383887 13753 0.001640
136 8235036 14028 0.001703
137 8086161 13416 0.001659
138 7926271 12969 0.001636
139 7765984 13229 0.001703
140 7601917 15603 0.002053
141 7438657 14380 0.001933
142 7267776 15046 0.002070
143 7099794 14920 0.002101
144 6935607 14337 0.002067
145 6787447 14396 0.002121
146 6619826 12218 0.001846
147 6451665 11694 0.001813
148 6292817 16763 0.002664
149 6119131 12707 0.002077
150 5939107 24603 0.004143
