# Distribution of mismatches along the read length.
# Read positions numbered 1, 2, ... from read start.
# ReadPosition NReads NMismatches FracMismatches
1 12417771 29948 0.002412
2 12417771 25155 0.002026
3 12417771 20495 0.001650
4 12417771 18555 0.001494
5 12417771 17602 0.001417
6 12417771 13178 0.001061
7 12417771 11888 0.000957
8 12417771 14201 0.001144
9 12417771 44668 0.003597
10 12417771 8928 0.000719
11 12417771 12815 0.001032
12 12417771 7394 0.000595
13 12417771 12353 0.000995
14 12417771 6228 0.000502
15 12417771 14628 0.001178
16 12417771 5843 0.000471
17 12417771 5430 0.000437
18 12417771 14676 0.001182
19 12417771 5199 0.000419
20 12417771 5588 0.000450
21 12417771 5080 0.000409
22 12417771 20612 0.001660
23 12417771 4725 0.000381
24 12417771 5227 0.000421
25 12417771 34293 0.002762
26 12417771 4955 0.000399
27 12417771 5317 0.000428
28 12417771 25917 0.002087
29 12417771 5271 0.000424
30 12417771 5500 0.000443
31 12417771 4923 0.000396
32 12417771 7525 0.000606
33 12417771 10031 0.000808
34 12417771 4750 0.000383
35 12417771 4375 0.000352
36 12417771 4821 0.000388
37 12417771 10807 0.000870
38 12417771 9728 0.000783
39 12417771 4495 0.000362
40 12417771 4556 0.000367
41 12417771 4399 0.000354
42 12417771 4593 0.000370
43 12417771 4431 0.000357
44 12417771 4379 0.000353
45 12417771 4948 0.000398
46 12417771 5406 0.000435
47 12417771 4801 0.000387
48 12417771 4726 0.000381
49 12417771 8062 0.000649
50 12417771 4834 0.000389
51 12417771 4581 0.000369
52 12417771 7032 0.000566
53 12417771 4568 0.000368
54 12417771 9674 0.000779
55 12417771 4704 0.000379
56 12417771 4962 0.000400
57 12417771 10285 0.000828
58 12417771 9394 0.000756
59 12417771 10592 0.000853
60 12417771 4759 0.000383
61 12417771 4732 0.000381
62 12417771 4701 0.000379
63 12417771 9606 0.000774
64 12417771 4772 0.000384
65 12417771 4796 0.000386
66 12417771 10361 0.000834
67 12417771 13126 0.001057
68 12417771 7495 0.000604
69 12417771 4591 0.000370
70 12417771 4853 0.000391
71 12417771 4923 0.000396
72 12417771 4918 0.000396
73 12417771 4942 0.000398
74 12417771 5538 0.000446
75 12417771 9352 0.000753
76 12417771 5219 0.000420
77 12417771 5256 0.000423
78 12417771 5067 0.000408
79 12417771 4910 0.000395
80 12417771 5179 0.000417
81 12417771 4987 0.000402
82 12417771 5448 0.000439
83 12417771 5265 0.000424
84 12417771 5426 0.000437
85 12417771 5533 0.000446
86 12417771 6194 0.000499
87 12417771 5081 0.000409
88 12417771 5974 0.000481
89 12417771 5861 0.000472
90 12417771 5676 0.000457
91 12417771 9135 0.000736
92 12417771 11025 0.000888
93 12417771 8182 0.000659
94 12417771 6288 0.000506
95 12417771 6394 0.000515
96 12417771 6101 0.000491
97 12417771 6636 0.000534
98 12417771 6780 0.000546
99 12417771 42791 0.003446
100 12417771 7575 0.000610
101 12403825 7843 0.000632
102 12387572 18574 0.001499
103 12369977 7195 0.000582
104 12349667 7622 0.000617
105 12326710 7630 0.000619
106 12300884 12539 0.001019
107 12271114 7819 0.000637
108 12238496 13045 0.001066
109 12202444 7941 0.000651
110 12163300 8781 0.000722
111 12118737 8312 0.000686
112 12071139 9239 0.000765
113 12020668 9541 0.000794
114 11966482 9524 0.000796
115 11910624 8885 0.000746
116 11846812 9737 0.000822
117 11775144 10210 0.000867
118 11700802 9597 0.000820
119 11625740 9369 0.000806
120 11546040 10572 0.000916
121 11457781 9909 0.000865
122 11364584 10112 0.000890
123 11264070 10596 0.000941
124 11164093 13213 0.001184
125 11056801 10802 0.000977
126 10938536 10816 0.000989
127 10822959 9535 0.000881
128 10707005 11027 0.001030
129 10587624 15751 0.001488
130 10467750 11945 0.001141
131 10329060 10532 0.001020
132 10184563 11279 0.001107
133 10038723 12286 0.001224
134 9882400 14481 0.001465
135 9724457 13181 0.001355
136 9565911 11783 0.001232
137 9406445 15332 0.001630
138 9234245 12298 0.001332
139 9059240 11177 0.001234
140 8882303 15314 0.001724
141 8698830 11484 0.001320
142 8509754 11960 0.001405
143 8319735 12187 0.001465
144 8134481 12746 0.001567
145 7963726 13261 0.001665
146 7770286 12705 0.001635
147 7577425 13343 0.001761
148 7395224 12689 0.001716
149 7196267 11881 0.001651
150 6982946 27449 0.003931
