# Distribution of mismatches along the read length.
# Read positions numbered 1, 2, ... from read start.
# ReadPosition NReads NMismatches FracMismatches
1 12602533 113027 0.008969
2 12602533 54370 0.004314
3 12602533 47709 0.003786
4 12602533 43608 0.003460
5 12602533 41150 0.003265
6 12602533 35499 0.002817
7 12602533 34145 0.002709
8 12602533 34297 0.002721
9 12602533 27393 0.002174
10 12602533 26085 0.002070
11 12602533 23608 0.001873
12 12602533 22401 0.001777
13 12602533 20127 0.001597
14 12602533 18272 0.001450
15 12602533 28180 0.002236
16 12602533 17077 0.001355
17 12602533 16338 0.001296
18 12602533 16248 0.001289
19 12602533 15942 0.001265
20 12602533 16462 0.001306
21 12602533 15387 0.001221
22 12602533 34536 0.002740
23 12602533 14795 0.001174
24 12602533 15146 0.001202
25 12602533 15593 0.001237
26 12602533 15734 0.001248
27 12602533 15029 0.001193
28 12602533 28400 0.002254
29 12602533 14631 0.001161
30 12602533 15339 0.001217
31 12602533 19474 0.001545
32 12602533 17836 0.001415
33 12602533 14136 0.001122
34 12602533 14351 0.001139
35 12602533 14461 0.001147
36 12602533 14446 0.001146
37 12602533 14619 0.001160
38 12602533 14763 0.001171
39 12602533 14747 0.001170
40 12602533 14612 0.001159
41 12602533 14412 0.001144
42 12602533 15087 0.001197
43 12602533 14669 0.001164
44 12602533 27704 0.002198
45 12602533 26032 0.002066
46 12602533 18633 0.001479
47 12602533 19527 0.001549
48 12602533 16170 0.001283
49 12602533 17070 0.001354
50 12602533 14532 0.001153
51 12602533 14389 0.001142
52 12602533 14679 0.001165
53 12602533 14656 0.001163
54 12602533 14450 0.001147
55 12602533 14923 0.001184
56 12602533 14885 0.001181
57 12602533 14503 0.001151
58 12602533 15110 0.001199
59 12602533 14738 0.001169
60 12602533 14473 0.001148
61 12602533 15455 0.001226
62 12602533 14472 0.001148
63 12602533 14283 0.001133
64 12602533 14940 0.001185
65 12602533 15019 0.001192
66 12602533 15500 0.001230
67 12602533 14973 0.001188
68 12602533 16736 0.001328
69 12602533 16557 0.001314
70 12602533 16823 0.001335
71 12602533 22684 0.001800
72 12602533 21261 0.001687
73 12602533 20402 0.001619
74 12602533 14995 0.001190
75 12602533 14966 0.001188
76 12602533 15107 0.001199
77 12602533 14835 0.001177
78 12602533 15029 0.001193
79 12602533 14538 0.001154
80 12602533 14334 0.001137
81 12602533 14579 0.001157
82 12602533 14584 0.001157
83 12602533 15377 0.001220
84 12602533 14951 0.001186
85 12602533 16154 0.001282
86 12602533 16272 0.001291
87 12602533 14886 0.001181
88 12602533 15328 0.001216
89 12602533 15905 0.001262
90 12602533 15540 0.001233
91 12602533 15278 0.001212
92 12602533 14905 0.001183
93 12602533 15531 0.001232
94 12602533 15249 0.001210
95 12602533 19255 0.001528
96 12602533 18555 0.001472
97 12602533 19096 0.001515
98 12602533 15869 0.001259
99 12602533 17053 0.001353
100 12602533 16969 0.001346
101 12591409 23317 0.001852
102 12578164 22660 0.001802
103 12563441 16177 0.001288
104 12546023 16226 0.001293
105 12526388 16074 0.001283
106 12504103 15707 0.001256
107 12478360 15402 0.001234
108 12449656 15365 0.001234
109 12417318 15616 0.001258
110 12381383 17472 0.001411
111 12340142 18005 0.001459
112 12295100 19898 0.001618
113 12246265 18784 0.001534
114 12192928 18435 0.001512
115 12135606 18154 0.001496
116 12070772 17302 0.001433
117 11997559 17013 0.001418
118 11921591 16475 0.001382
119 11843301 16963 0.001432
120 11760250 19338 0.001644
121 11665827 17074 0.001464
122 11567024 17543 0.001517
123 11457417 17802 0.001554
124 11349392 18886 0.001664
125 11232966 18593 0.001655
126 11106917 18290 0.001647
127 10979095 17645 0.001607
128 10850898 18057 0.001664
129 10718446 17853 0.001666
130 10585714 17949 0.001696
131 10434655 16687 0.001599
132 10276281 18003 0.001752
133 10113634 18184 0.001798
134 9943341 16813 0.001691
135 9769623 17091 0.001749
136 9596444 17408 0.001814
137 9420266 16553 0.001757
138 9232278 15956 0.001728
139 9043306 16728 0.001850
140 8844029 19456 0.002200
141 8647046 17639 0.002040
142 8438319 18748 0.002222
143 8236806 17882 0.002171
144 8037122 17348 0.002158
145 7854260 17841 0.002272
146 7647772 15305 0.002001
147 7443223 14633 0.001966
148 7243684 20539 0.002835
149 7022163 17556 0.002500
150 6802559 31430 0.004620
