# Distribution of mismatches along the read length.
# Read positions numbered 1, 2, ... from read start.
# ReadPosition NReads NMismatches FracMismatches
1 12602533 50772 0.004029
2 12602533 44081 0.003498
3 12602533 36331 0.002883
4 12602533 33120 0.002628
5 12602533 31116 0.002469
6 12602533 26438 0.002098
7 12602533 24914 0.001977
8 12602533 26880 0.002133
9 12602533 57279 0.004545
10 12602533 21056 0.001671
11 12602533 25113 0.001993
12 12602533 19245 0.001527
13 12602533 24003 0.001905
14 12602533 17699 0.001404
15 12602533 26390 0.002094
16 12602533 16912 0.001342
17 12602533 16316 0.001295
18 12602533 25884 0.002054
19 12602533 15704 0.001246
20 12602533 16009 0.001270
21 12602533 14971 0.001188
22 12602533 30126 0.002390
23 12602533 14939 0.001185
24 12602533 15427 0.001224
25 12602533 45102 0.003579
26 12602533 15254 0.001210
27 12602533 15208 0.001207
28 12602533 37284 0.002958
29 12602533 14810 0.001175
30 12602533 15230 0.001208
31 12602533 14586 0.001157
32 12602533 17878 0.001419
33 12602533 19536 0.001550
34 12602533 14225 0.001129
35 12602533 14043 0.001114
36 12602533 14101 0.001119
37 12602533 20621 0.001636
38 12602533 19417 0.001541
39 12602533 14178 0.001125
40 12602533 14173 0.001125
41 12602533 14345 0.001138
42 12602533 14143 0.001122
43 12602533 14189 0.001126
44 12602533 22386 0.001776
45 12602533 21645 0.001718
46 12602533 17055 0.001353
47 12602533 15289 0.001213
48 12602533 15647 0.001242
49 12602533 19539 0.001550
50 12602533 14591 0.001158
51 12602533 14422 0.001144
52 12602533 16668 0.001323
53 12602533 14307 0.001135
54 12602533 19610 0.001556
55 12602533 14469 0.001148
56 12602533 14859 0.001179
57 12602533 19980 0.001585
58 12602533 19362 0.001536
59 12602533 20431 0.001621
60 12602533 14703 0.001167
61 12602533 14618 0.001160
62 12602533 14639 0.001162
63 12602533 20030 0.001589
64 12602533 15189 0.001205
65 12602533 15235 0.001209
66 12602533 21178 0.001680
67 12602533 23792 0.001888
68 12602533 19444 0.001543
69 12602533 16018 0.001271
70 12602533 16376 0.001299
71 12602533 21763 0.001727
72 12602533 20001 0.001587
73 12602533 19545 0.001551
74 12602533 15737 0.001249
75 12602533 19261 0.001528
76 12602533 15023 0.001192
77 12602533 15267 0.001211
78 12602533 15352 0.001218
79 12602533 15105 0.001199
80 12602533 14930 0.001185
81 12602533 15181 0.001205
82 12602533 15252 0.001210
83 12602533 15847 0.001257
84 12602533 15197 0.001206
85 12602533 16035 0.001272
86 12602533 16596 0.001317
87 12602533 15038 0.001193
88 12602533 15779 0.001252
89 12602533 16480 0.001308
90 12602533 15924 0.001264
91 12602533 19611 0.001556
92 12602533 20949 0.001662
93 12602533 18184 0.001443
94 12602533 16401 0.001301
95 12602533 19363 0.001536
96 12602533 19072 0.001513
97 12602533 20021 0.001589
98 12602533 17278 0.001371
99 12602533 55417 0.004397
100 12602533 18529 0.001470
101 12591409 21687 0.001722
102 12578164 32694 0.002599
103 12563441 17243 0.001372
104 12546023 17656 0.001407
105 12526388 17607 0.001406
106 12504103 22905 0.001832
107 12478360 17441 0.001398
108 12449656 22845 0.001835
109 12417318 17780 0.001432
110 12381383 19022 0.001536
111 12340142 18841 0.001527
112 12295100 19870 0.001616
113 12246265 20874 0.001705
114 12192928 20886 0.001713
115 12135606 20601 0.001698
116 12070772 19355 0.001603
117 11997559 20412 0.001701
118 11921591 19613 0.001645
119 11843301 19752 0.001668
120 11760250 21979 0.001869
121 11665827 20104 0.001723
122 11567024 20562 0.001778
123 11457417 21868 0.001909
124 11349392 24677 0.002174
125 11232966 22161 0.001973
126 11106917 21754 0.001959
127 10979095 20001 0.001822
128 10850898 21402 0.001972
129 10718446 25569 0.002386
130 10585714 22192 0.002096
131 10434655 19860 0.001903
132 10276281 20739 0.002018
133 10113634 21759 0.002151
134 9943341 23397 0.002353
135 9769623 21149 0.002165
136 9596444 19924 0.002076
137 9420266 23375 0.002481
138 9232278 19891 0.002155
139 9043306 18994 0.002100
140 8844029 24459 0.002766
141 8647046 20237 0.002340
142 8438319 20507 0.002430
143 8236806 20454 0.002483
144 8037122 20338 0.002531
145 7854260 20970 0.002670
146 7647772 19028 0.002488
147 7443223 18565 0.002494
148 7243684 18149 0.002505
149 7022163 18872 0.002687
150 6802559 31431 0.004620
